rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
36,https://www.afriquesports.net/afrique/soudan-du-sud-vs-senegal-le-onze-de-depart-de-pape-thiaw-qui-promet-le-spectacle,soudan-du-sud-vs-senegal-le-onze-de-depart-de-pape-thiaw-qui-promet-le-spectacle,fr,afrique,390,134895,0.29,6.8,862926,Soudan du Sud vs Sénégal : le onze de départ de Pape Thiaw qui promet le spectacle,true,2025-12-31,
37,https://www.afriquesports.net/coupe-du-monde/voici-pourquoi-la-caf-a-elimine-le-burkina-faso-des-barrages-de-la-coupe-du-monde-2026,voici-pourquoi-la-caf-a-elimine-le-burkina-faso-des-barrages-de-la-coupe-du-monde-2026,fr,coupe-du-monde,372,9270,4.01,5.9,863656,Voici pourquoi la CAF a éliminé le Burkina Faso des barrages de la Coupe du Monde 2026 !,true,2025-12-30,
38,https://www.afriquesports.net/afrique/cote-divoire/la-verite-eclate-pourquoi-didier-drogba-a-ete-ecarte-du-ballon-dor-2025,la-verite-eclate-pourquoi-didier-drogba-a-ete-ecarte-du-ballon-dor-2025,fr,afrique,370,6824,5.42,7.8,859457,Ballon d’Or 2025 : voici pourquoi Didier Drogba a été écarté !,true,2026-01-02,
39,https://www.afriquesports.net/afrique/senegal/fin-du-suspense-decouvrez-la-liste-des-lions-pour-la-can-2025,fin-du-suspense-decouvrez-la-liste-des-lions-pour-la-can-2025,fr,afrique,364,5389,6.75,8.6,,,,,
40,https://www.afriquesports.net/afrique/hakim-ziyech-endeuille-une-drame-personnelle-assombrit-son-retour,hakim-ziyech-endeuille-une-drame-personnelle-assombrit-son-retour,fr,afrique,350,12853,2.72,3.9,871331,Hakim Ziyech endeuillé : une drame personnelle assombrit son retour,true,2026-01-02,
41,https://www.afriquesports.net/can-2025/en-direct-can-2025-algerie-vs-soudan-groupe-e-suivez-le-match-en-live,en-direct-can-2025-algerie-vs-soudan-groupe-e-suivez-le-match-en-live,fr,can-2025,341,27819,1.23,4.8,871335,"EN DIRECT / CAN 2025 : Algérie vs Soudan – Groupe E, suivez le match en live !",true,2026-01-02,
42,https://www.afriquesports.net/afrique/classement-des-meilleurs-joueurs-ivoiriens-de-tous-les-temp,classement-des-meilleurs-joueurs-ivoiriens-de-tous-les-temp,fr,afrique,338,19065,1.77,7.5,644348,"Drogba 2e, Gervinho 10e : Le classement des meilleurs joueurs ivoiriens de tous les temps",true,2026-01-02,
43,https://www.afriquesports.net/afrique/senegal/rdc-vs-senegal-voici-le-11-de-depart-aligne-par-pape-thiaw-avec-une-grosse-surprise,rdc-vs-senegal-voici-le-11-de-depart-aligne-par-pape-thiaw-avec-une-grosse-surprise,fr,afrique,338,240176,0.14,6.5,858561,RDC vs Sénégal : Voici le 11 de départ aligné par Pape Thiaw avec une grosse surprise !,true,2026-01-01,
44,https://www.afriquesports.net/football/foot/man-utd-2e-chelsea-4e-les-10-clubs-les-plus-decores-dangleterre-ont-ete-reveles,man-utd-2e-chelsea-4e-les-10-clubs-les-plus-decores-dangleterre-ont-ete-reveles,fr,football,323,21819,1.48,15.5,276696,"Man Utd 2é, Chelsea 4é&#8230; les 10 clubs les plus titrés d&rsquo;Angleterre ont été révélés",true,2026-01-02,
45,https://www.afriquesports.net/afrique/senegal/mondial-2026-le-senegal-deja-fixe-sur-son-sort-pour-le-tirage-au-sort,mondial-2026-le-senegal-deja-fixe-sur-son-sort-pour-le-tirage-au-sort,fr,afrique,322,26070,1.24,6.1,,,,,
46,https://www.afriquesports.net/afrique/senegal/15-heures-apres-le-match-le-verdict-tombe-pour-le-but-refuse-au-senegal-contre-la-rdcvideo,15-heures-apres-le-match-le-verdict-tombe-pour-le-but-refuse-au-senegal-contre-la-rdcvideo,fr,afrique,318,4603,6.91,8.1,,,,,
47,https://www.afriquesports.net/can-2025/en-direct-can-2025-senegal-vs-botswana-groupe-d-suivez-le-match-en-live,en-direct-can-2025-senegal-vs-botswana-groupe-d-suivez-le-match-en-live,fr,can-2025,302,34422,0.88,5.7,871150,"EN DIRECT / CAN 2025 : Sénégal vs Botswana – Groupe D, suivez le match en live !",true,2025-12-30,
48,https://www.afriquesports.net/can-2025/en-direct-can-2025-egypte-vs-zimbabwe-groupe-b-suivez-le-match-en-live,en-direct-can-2025-egypte-vs-zimbabwe-groupe-b-suivez-le-match-en-live,fr,can-2025,301,35404,0.85,6.8,870933,"EN DIRECT / CAN 2025 : Egypte vs Zimbabwe – Groupe B, suivez le match en live !",true,2026-01-01,
49,https://www.afriquesports.net/europe/diogo-jota-lheritage-laisse-a-sa-femme-va-vous-bouleverser,diogo-jota-lheritage-laisse-a-sa-femme-va-vous-bouleverser,fr,europe,297,2415,12.30,19.6,853220,Diogo Jota : l’héritage laissé à sa femme va vous bouleverser,true,2026-01-01,
50,https://www.afriquesports.net/football/france-zinedine-zidane-la-mauvaise-nouvelle,france-zinedine-zidane-la-mauvaise-nouvelle,fr,football,289,9579,3.02,3.3,869886,"France : Zinedine Zidane, la mauvaise nouvelle !",true,2025-12-31,
51,https://www.afriquesports.net/football/la-sortie-inattendue-du-var-sur-le-penalty-polemique-dendrick-apres-real-madrid-espanyol,la-sortie-inattendue-du-var-sur-le-penalty-polemique-dendrick-apres-real-madrid-espanyol,fr,football,281,2007,14.00,9.4,824781,La sortie inattendue du VAR sur le penalty polémique d&rsquo;Endrick après Real Madrid &#8211; Espanyol !,true,2025-12-27,
52,https://www.afriquesports.net/football/foot/voici-les-cinq-championnats-africains-les-plus-riches,voici-les-cinq-championnats-africains-les-plus-riches,fr,football,280,4409,6.35,9.4,,,,,
53,https://www.afriquesports.net/afrique/la-fifa-frappe-fort-et-rend-son-verdict-pour-samuel-etoo,la-fifa-frappe-fort-et-rend-son-verdict-pour-samuel-etoo,fr,afrique,275,8354,3.29,7.9,862845,La FIFA frappe fort et rend son verdict pour Samuel Eto’o,true,2025-12-31,
54,https://www.afriquesports.net/football/quel-est-le-trophee-le-plus-cher-entre-la-can-leuro-et-la-copa-america,quel-est-le-trophee-le-plus-cher-entre-la-can-leuro-et-la-copa-america,fr,football,274,10040,2.73,14.9,773365,"Quel est le trophée le plus cher entre la CAN, l&rsquo;EURO et la Copa America ?",true,2026-01-01,
55,https://www.afriquesports.net/football/robben-8e-etoo-6e-les-meilleurs-ailiers-droits-de-lhistoire-devoiles-france-football,robben-8e-etoo-6e-les-meilleurs-ailiers-droits-de-lhistoire-devoiles-france-football,fr,football,273,7499,3.64,15.5,,,,,
56,https://www.afriquesports.net/football/vinicius-jr-prend-une-decision-surprenante-apres-son-clash-avec-xabi-alonso,vinicius-jr-prend-une-decision-surprenante-apres-son-clash-avec-xabi-alonso,fr,football,271,7983,3.39,5.5,865101,Vinicius Jr prend une décision surprenante après son clash avec Xabi Alonso,true,2026-01-02,
57,https://www.afriquesports.net/article-du-jour/seydou-keita-limpressionnante-fortune-de-lex-star-du-barca-qui-cree-de-lemploi-au-mali,seydou-keita-limpressionnante-fortune-de-lex-star-du-barca-qui-cree-de-lemploi-au-mali,fr,article-du-jour,270,11292,2.39,10.0,,,,,
58,https://www.afriquesports.net/afrique/senegal/direct-moustapha-diakhate-vs-begai-le-choc-pour-la-ceinture-ares-heavyweight,direct-moustapha-diakhate-vs-begai-le-choc-pour-la-ceinture-ares-heavyweight,fr,afrique,266,12084,2.20,7.1,859217,DIRECT – Moustapha Diakhaté vs Begai : le choc pour la ceinture Ares Heavyweight !,true,2025-12-27,
59,https://www.afriquesports.net/afrique/senegal/senegal-mauritanie-pape-thiaw-surprend-avec-une-nouvelle-composition,senegal-mauritanie-pape-thiaw-surprend-avec-une-nouvelle-composition,fr,afrique,265,78454,0.34,6.7,863399,Sénégal – Mauritanie : Pape Thiaw surprend avec une nouvelle composition,true,2026-01-02,
60,https://www.afriquesports.net/ballon-dor/ballon-dor-un-journaliste-de-france-football-devoile-le-vainqueur-par-erreur,ballon-dor-un-journaliste-de-france-football-devoile-le-vainqueur-par-erreur,fr,ballon-dor,252,3833,6.57,9.2,858591,Ballon d’Or : un journaliste de France Football dévoile le vainqueur par erreur,true,2026-01-02,
61,https://www.afriquesports.net/article-du-jour/annonce-ruiner-voici-la-fortune-monstrueuse-du-senegalais-el-hadji-diouf,annonce-ruiner-voici-la-fortune-monstrueuse-du-senegalais-el-hadji-diouf,fr,article-du-jour,251,6493,3.87,9.0,,,,,
62,https://www.afriquesports.net/europe/a-quelques-jours-du-clasico-le-verdict-officiel-est-tombe-pour-lamine-yamal,a-quelques-jours-du-clasico-le-verdict-officiel-est-tombe-pour-lamine-yamal,fr,europe,246,9032,2.72,5.1,863364,"À quelques jours du Clasico, le verdict officiel est tombé pour Lamine Yamal !",true,2025-12-31,
63,https://www.afriquesports.net/category/football,football,fr,category,244,5918,4.12,7.2,,,,,
64,https://www.afriquesports.net/classement/can-2025-salaires-des-selectionneurs-emerse-fae-3e-walid-regragui-4e-pape-thiaw-loin-derriere,can-2025-salaires-des-selectionneurs-emerse-fae-3e-walid-regragui-4e-pape-thiaw-loin-derriere,fr,classement,242,9994,2.42,8.2,870871,"CAN 2025 : salaires des sélectionneurs, Emerse Faé 3e, Walid Regragui 4e, Pape Thiaw loin derrière",true,2026-01-02,
65,https://www.afriquesports.net/article-du-jour/gros-salaires-immeubles-decouvrez-la-fortune-delirante-de-gervinho,gros-salaires-immeubles-decouvrez-la-fortune-delirante-de-gervinho,fr,article-du-jour,239,5845,4.09,12.5,,,,,
66,https://www.afriquesports.net/ballon-dor/dembele-ou-yamal-un-gros-indice-fuite-pour-le-ballon-dor,dembele-ou-yamal-un-gros-indice-fuite-pour-le-ballon-dor,fr,ballon-dor,239,4807,4.97,8.2,,,,,
67,https://www.afriquesports.net/afrique/senegal/cest-fait-pape-thiaw-a-envoye-sa-premiere-liste-a-la-caf-voici-les-joueurs-deja-retenus,cest-fait-pape-thiaw-a-envoye-sa-premiere-liste-a-la-caf-voici-les-joueurs-deja-retenus,fr,afrique,238,4273,5.57,8.8,867712,"C’est fait : Pape Thiaw a envoyé sa première liste à la CAF, voici les joueurs déjà retenus",true,2026-01-02,
68,https://www.afriquesports.net/europe/zidane-vs-ronaldinho-les-statistiques-de-bein-sports-qui-determinent-enfin-le-meilleur,zidane-vs-ronaldinho-les-statistiques-de-bein-sports-qui-determinent-enfin-le-meilleur,fr,europe,238,3773,6.31,21.5,,,,,
